# t (s),mx (),my (),mz (),Edens_demag.region5 (J/m3),Edens_exch.region5 (J/m3)
0,0.6,0,0,8023.883,-0.0035483877
0,0.5969615,0.03472964,0,7927.455,-0.0027613516
0,0.58793855,0.06840403,0,7840.5034,-0.0036510425
0,0.57320505,0.1,0,7765.6733,-0.0027671694
0,0.5532089,0.12855752,0,7705.236,-0.01166401
0,0.52855754,0.1532089,0,7661.029,-0.0044151973
0,0.5,0.17320508,0,7634.3926,-0.0031385368
0,0.468404,0.18793853,0,7626.14,-0.009433465
0,0.4347296,0.19696155,0,7636.521,0.0011120442
0,0.4,0.2,0,7665.218,-0.0035483877
0,0.36527035,0.19696155,0,7711.362,0.0011120442
0,0.331596,0.18793853,0,7773.5474,-0.009433467
0,0.3,0.17320508,0,7849.8877,-0.0031385368
0,0.27144247,0.1532089,0,7938.063,-0.004415197
0,0.24679112,0.12855752,0,8035.3926,-0.011664011
0,0.22679493,0.1,0,8138.921,-0.0027671694
0,0.21206148,0.068404034,0,8245.501,-0.003651043
0,0.20303844,0.03472964,0,8351.896,-0.0027613516
0,0.2,2.45E-17,0,8454.872,-0.0035483877
0,0.20303844,-0.03472964,0,8551.3,-0.0027613516
0,0.21206146,-0.068404034,0,8638.251,-0.003651043
0,0.22679493,-0.1,0,8713.082,-0.0027671694
0,0.24679112,-0.12855752,0,8773.5205,-0.01166401
0,0.27144247,-0.15320888,0,8817.73,-0.0044151973
0,0.3,-0.17320508,0,8844.365,-0.0031385368
0,0.331596,-0.18793853,0,8852.618,-0.009433467
0,0.36527035,-0.19696155,0,8842.239,0.0011120442
0,0.4,-0.2,0,8813.542,-0.0035483877
0,0.43472964,-0.19696155,0,8767.399,0.0011120442
0,0.468404,-0.18793853,0,8705.212,-0.009433467
0,0.5,-0.17320508,0,8628.87,-0.0031385368
0,0.5285576,-0.1532089,0,8540.695,-0.0044151973
0,0.55320895,-0.12855752,0,8443.364,-0.011664011
0,0.57320505,-0.1,0,8339.835,-0.0027671694
0,0.58793855,-0.06840403,0,8233.254,-0.003651043
0,0.5969615,-0.03472964,0,8126.859,-0.0027613516
0,0.6,-4.90E-17,0,8023.883,-0.0035483877
0,0.6,0,0,8023.883,-0.0035483877
0,0.5969615,0.03472964,0,7927.455,-0.0027613516
0,0.58793855,0.068404034,0,7840.5034,-0.003651043
0,0.57320505,0.1,0,7765.6733,-0.0027671696
0,0.55320895,0.12855752,0,7705.236,-0.01166401
0,0.52855754,0.1532089,0,7661.029,-0.0044151973
0,0.5,0.17320508,0,7634.3926,-0.0031385368
0,0.468404,0.18793853,0,7626.14,-0.009433465
0,0.4347296,0.19696158,0,7636.521,0.0011120442
0,0.4,0.2,0,7665.218,-0.0035483877
0,0.36527038,0.19696157,0,7711.362,0.0011120442
0,0.331596,0.18793853,0,7773.5474,-0.009433467
0,0.3,0.17320509,0,7849.888,-0.0031385368
0,0.27144247,0.15320888,0,7938.063,-0.0044151973
0,0.24679112,0.12855752,0,8035.393,-0.01166401
0,0.2267949,0.1,0,8138.921,-0.0027671696
0,0.21206146,0.06840403,0,8245.501,-0.0036510425
0,0.20303847,0.03472964,0,8351.896,-0.0027613516
0,0.2,2.45E-17,0,8454.872,-0.0035483877
0,0.20303845,-0.03472964,0,8551.3,-0.0027613516
0,0.21206146,-0.068404034,0,8638.251,-0.0036510425
0,0.22679493,-0.1,0,8713.082,-0.0027671694
0,0.2467911,-0.12855752,0,8773.521,-0.01166401
0,0.27144247,-0.15320888,0,8817.73,-0.0044151973
0,0.3,-0.17320508,0,8844.365,-0.0031385368
0,0.331596,-0.18793853,0,8852.618,-0.009433467
0,0.36527038,-0.19696158,0,8842.239,0.0011120442
0,0.4,-0.2,0,8813.542,-0.0035483877
0,0.43472964,-0.19696158,0,8767.399,0.0011120442
0,0.468404,-0.18793853,0,8705.211,-0.009433465
0,0.5,-0.17320508,0,8628.87,-0.0031385368
0,0.5285576,-0.1532089,0,8540.695,-0.0044151973
0,0.55320895,-0.12855752,0,8443.364,-0.011664011
0,0.57320505,-0.1,0,8339.835,-0.0027671696
0,0.58793855,-0.06840403,0,8233.254,-0.0036510425
0,0.5969615,-0.03472964,0,8126.859,-0.0027613516
0,0.6,-4.90E-17,0,8023.883,-0.0035483877
0,0.6,0,0,8023.883,-0.0035483877
0,0.5969615,0.03472964,0,7927.455,-0.0027613523
0,0.58793855,0.06840403,0,7840.5034,-0.003651043
0,0.5732051,0.1,0,7765.6733,-0.0027671694
0,0.5532089,0.12855752,0,7705.236,-0.011664011
0,0.5285576,0.1532089,0,7661.029,-0.0044151973
0,0.5,0.17320508,0,7634.3926,-0.0031385368
0,0.468404,0.18793853,0,7626.14,-0.009433465
0,0.43472964,0.19696157,0,7636.521,0.0011120442
0,0.4,0.2,0,7665.218,-0.0035483877
0,0.36527035,0.19696158,0,7711.362,0.0011120442
0,0.331596,0.18793853,0,7773.5474,-0.009433465
0,0.3,0.17320508,0,7849.888,-0.0031385368
0,0.27144247,0.15320888,0,7938.063,-0.0044151973
0,0.2467911,0.12855752,0,8035.393,-0.011664011
0,0.2267949,0.1,0,8138.921,-0.0027671694
0,0.21206148,0.06840403,0,8245.501,-0.003651043
0,0.20303844,0.03472964,0,8351.896,-0.0027613523
0,0.2,2.45E-17,0,8454.872,-0.0035483877
0,0.20303845,-0.03472964,0,8551.3,-0.0027613516
0,0.21206146,-0.06840403,0,8638.251,-0.003651043
0,0.22679493,-0.1,0,8713.082,-0.0027671696
0,0.24679115,-0.12855752,0,8773.5205,-0.01166401
0,0.27144247,-0.15320888,0,8817.73,-0.0044151973
0,0.3,-0.17320508,0,8844.365,-0.0031385368
0,0.331596,-0.18793853,0,8852.618,-0.009433465
0,0.36527035,-0.19696158,0,8842.239,0.0011120442
0,0.4,-0.2,0,8813.542,-0.0035483877
0,0.43472964,-0.19696158,0,8767.399,0.0011120428
0,0.468404,-0.18793853,0,8705.212,-0.009433467
0,0.5,-0.17320509,0,8628.87,-0.0031385368
0,0.52855754,-0.1532089,0,8540.695,-0.0044151973
0,0.55320895,-0.12855752,0,8443.364,-0.011664011
0,0.5732051,-0.1,0,8339.835,-0.0027671696
0,0.58793855,-0.06840403,0,8233.253,-0.003651043
0,0.5969615,-0.03472964,0,8126.859,-0.0027613516
0,0.6,-4.90E-17,0,8023.883,-0.0035483877
0,0.6,0,0,8023.883,-0.0035483877
0,0.5969615,0.03472964,0,7927.4546,-0.0027613516
0,0.58793855,0.06840403,0,7840.5034,-0.003651043
0,0.5732051,0.1,0,7765.6733,-0.0027671694
0,0.5532089,0.12855752,0,7705.236,-0.011664011
0,0.52855754,0.15320888,0,7661.029,-0.0044151973
0,0.5,0.17320508,0,7634.3926,-0.0031385368
0,0.468404,0.18793853,0,7626.14,-0.009433467
0,0.4347296,0.19696155,0,7636.521,0.0011120442
0,0.4,0.2,0,7665.218,-0.0035483877
0,0.36527035,0.19696158,0,7711.362,0.0011120442
0,0.331596,0.18793853,0,7773.5474,-0.009433465
0,0.3,0.17320508,0,7849.888,-0.0031385368
0,0.27144247,0.15320888,0,7938.063,-0.0044151973
0,0.24679112,0.12855752,0,8035.393,-0.01166401
0,0.2267949,0.1,0,8138.921,-0.0027671696
0,0.21206146,0.06840403,0,8245.501,-0.0036510425
0,0.20303845,0.03472964,0,8351.896,-0.0027613516
0,0.2,2.45E-17,0,8454.872,-0.0035483877
0,0.20303845,-0.03472964,0,8551.3,-0.0027613516
0,0.21206148,-0.06840403,0,8638.251,-0.0036510425
0,0.22679493,-0.1,0,8713.083,-0.0027671696
0,0.2467911,-0.12855752,0,8773.5205,-0.011664011
0,0.27144247,-0.15320888,0,8817.73,-0.0044151973
0,0.3,-0.17320508,0,8844.365,-0.0031385368
0,0.331596,-0.18793853,0,8852.618,-0.009433465
0,0.36527035,-0.19696157,0,8842.239,0.0011120442
0,0.4,-0.2,0,8813.542,-0.0035483877
0,0.43472964,-0.19696157,0,8767.399,0.0011120442
0,0.468404,-0.18793853,0,8705.212,-0.009433467
0,0.5,-0.17320508,0,8628.87,-0.0031385368
0,0.5285576,-0.1532089,0,8540.695,-0.0044151973
0,0.5532089,-0.12855752,0,8443.364,-0.011664011
0,0.57320505,-0.1,0,8339.835,-0.0027671696
0,0.58793855,-0.06840403,0,8233.253,-0.003651043
0,0.5969615,-0.034729637,0,8126.859,-0.0027613516
0,0.6,-4.90E-17,0,8023.883,-0.0035483877
0,0.6,0,0,8023.883,-0.0035483877
0,0.5969615,0.034729637,0,7927.4546,-0.0027613516
0,0.58793855,0.068404034,0,7840.5034,-0.003651043
0,0.5732051,0.1,0,7765.674,-0.0027671696
0,0.5532089,0.12855752,0,7705.236,-0.01166401
0,0.52855754,0.15320888,0,7661.028,-0.004415197
0,0.5,0.17320508,0,7634.3926,-0.0031385368
0,0.46840405,0.18793853,0,7626.14,-0.009433465
0,0.43472964,0.19696157,0,7636.521,0.0011120428
0,0.4,0.2,0,7665.218,-0.0035483877
0,0.36527035,0.19696157,0,7711.362,0.0011120442
0,0.331596,0.18793853,0,7773.5474,-0.009433465
0,0.3,0.17320508,0,7849.888,-0.0031385368
0,0.27144247,0.15320888,0,7938.063,-0.004415197
0,0.24679112,0.12855752,0,8035.393,-0.011664011
0,0.22679493,0.1,0,8138.921,-0.0027671696
0,0.21206148,0.06840403,0,8245.501,-0.003651043
0,0.20303845,0.034729637,0,8351.896,-0.0027613516
0,0.2,2.45E-17,0,8454.872,-0.0035483877
0,0.20303845,-0.03472964,0,8551.3,-0.0027613516
0,0.21206146,-0.06840403,0,8638.251,-0.0036510425
0,0.2267949,-0.1,0,8713.083,-0.0027671694
0,0.2467911,-0.12855752,0,8773.521,-0.011664011
0,0.27144247,-0.15320888,0,8817.73,-0.0044151973
0,0.3,-0.17320508,0,8844.365,-0.0031385368
0,0.331596,-0.18793853,0,8852.618,-0.009433467
0,0.36527035,-0.19696158,0,8842.239,0.0011120442
0,0.4,-0.2,0,8813.542,-0.0035483877
0,0.43472964,-0.19696158,0,8767.399,0.0011120446
0,0.468404,-0.18793853,0,8705.212,-0.009433467
0,0.5,-0.17320508,0,8628.87,-0.0031385368
0,0.52855754,-0.1532089,0,8540.695,-0.0044151973
0,0.55320895,-0.12855752,0,8443.364,-0.01166401
0,0.5732051,-0.1,0,8339.835,-0.0027671694
0,0.58793855,-0.06840403,0,8233.254,-0.0036510425
0,0.5969615,-0.03472964,0,8126.859,-0.0027613516
0,0.6,-4.90E-17,0,8023.883,-0.0035483877